Id,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,DOB,pension,employer_url,location,total_wages
33,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0.0,0.0,8060.0,,0.0,24-10-1985,,msubaroda.ac.in,Vadodara,8060.0
34,Saurashtra University,50796.0,114168.0,0.0,0.0,0.0,,23270.64,26-05-1988,2.00% @ 55,saurashtrauniversity.edu,Rajkot,65297.04
35,Gujarat University of Transplantation Sciences,22879.56,38749.56,0.0,0.0,3919.5,0.0,0.0,18-03-1972,,www.guts.education,Ahmedabad,4465.5
36,Sardarkrushinagar Dantiwada Agricultural University,56472.0,75924.0,0.0,,392.38,0.0,15467.11,19-07-1981,2.00% @ 62,sdau.edu.in,Palanpur,36226.46
37,Saurashtra University,22879.56,38749.56,0.0,0.0,2016.0,0.0,0.0,21-10-1982,,saurashtrauniversity.edu,Rajkot,3157.0
38,Gujarat Ayurved University,22879.56,38749.56,0.0,,2382.52,,0.0,04-07-1976,,ayurveduniversity.edu.in,Jamnagar,2684.78
39,Gujarat Technological University,22879.56,38749.56,0.0,0.0,781.25,0.0,0.0,16-01-1978,,gtu.ac.in,Ahmedabad,781.25
40,Maharaja Krishnakumarsinhji Bhavnagar University,41640.0,77832.0,0.0,0.0,1040.0,0.0,9237.72,20-11-1981,2.00% @ 62,www.mkbhavuni.edu.in,,54376.0
41,Saurashtra University,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,08-08-1972,,saurashtrauniversity.edu,Rajkot,1872.0
42,Gujarat National Law University,31200.0,53496.0,0.0,6.68,0.0,,0.0,07-04-1973,2.00% @ 62,gnlu.ac.in,,115.77
43,Gujarat University,56316.0,98904.0,0.0,,650.0,,22015.08,27-01-1979,2.00% @ 55,gujaratuniversity.org.in,,61703.0
44,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,575.0,0.0,0.0,26-09-1974,,sdau.edu.in,Palanpur,1442.5
45,Dr. Babasaheb Ambedkar Open University,85188.0,150792.0,0.0,0.0,34427.0,0.0,17631.72,26-05-1951,2.00% @ 55,baou.edu.in,Ahmedabad,132589.92
46,Navsari Agricultural University,85188.0,150792.0,0.0,0.0,0.0,,9237.72,08-11-1954,2.00% @ 55,www.nau.in,,109819.0
47,Shri Govind Guru University,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,16-01-1961,,sggu.ac.in,,1808.3
48,Bhakta Kavi Narsinh Mehta University,38064.0,66864.0,0.0,0.0,13.12,,0.0,20-11-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,Junagadh,380.05
49,Gujarat Ayurved University,22879.56,38749.56,0.0,0.0,2996.24,0.0,0.0,03-03-1965,,ayurveduniversity.edu.in,,2996.24
50,Institute of Infrastructure Technology Research and Management,41868.0,73548.0,0.0,0.0,325.0,0.0,9319.08,16-07-1962,2.00% @ 62,iitram.ac.in,Ahmedabad,24270.0
51,Maharaja Krishnakumarsinhji Bhavnagar University,37380.0,65700.0,0.0,12.69,0.0,0.0,0.0,27-07-1968,2.00% @ 62,www.mkbhavuni.edu.in,Bhavnagar,277.69
52,Gujarat Technological University,59076.0,131088.0,0.0,0.0,1753.4,,1018.08,09-03-1980,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad,13753.48
53,Gujarat Technological University,22879.56,38749.56,0.0,0.0,1152.8,,0.0,08-03-1960,,gtu.ac.in,Ahmedabad,1152.8
54,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0.0,0.0,2737.6,0.0,0.0,26-02-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,,4396.4
55,Anand Agricultural University,22879.56,38749.56,0.0,0.0,16.5,,0.0,14-01-1962,,www.aau.in,,16.5
56,Gujarat University,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,19-03-1951,,gujaratuniversity.org.in,,1422.23
57,Sardarkrushinagar Dantiwada Agricultural University,49512.0,66192.0,0.0,0.0,411.9,0.0,0.0,05-10-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,7021.5
58,Saurashtra University,59076.0,131088.0,0.0,0.0,4149.2,0.0,14.94,18-08-1988,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,,12448.4
59,Maharaja Krishnakumarsinhji Bhavnagar University,49512.0,66192.0,0.0,0.0,8778.37,,19981.27,02-11-1986,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,Bhavnagar,37241.19
60,Dr. Babasaheb Ambedkar Open University,49512.0,66192.0,0.0,0.0,13371.0,0.0,830.79,06-04-1989,2.00% @ 62,baou.edu.in,,49417.0
61,Bhakta Kavi Narsinh Mehta University,59076.0,131088.0,0.0,0.0,0.0,0.0,9319.08,22-02-1971,2.00% @ 55,www.bknmu.edu.in,,78901.98
62,Dharamsinh Desai University,49512.0,66192.0,0.0,0.0,0.0,0.0,280.0,13-06-1975,2.00% @ 60,ddu.ac.in,,15962.0
63,Gujarat National Law University,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,15-08-1975,,gnlu.ac.in,Gandhinagar,1182.37
64,Gujarat University,39456.0,73944.0,870.81,0.0,1573.0,0.0,9237.72,17-08-1965,2.00% @ 62,gujaratuniversity.org.in,Ahmedabad,53176.85
65,Gujarat Technological University,22879.56,38749.56,0.0,0.0,1087.5,0.0,0.0,27-03-1984,,gtu.ac.in,Ahmedabad,1087.5
66,Gujarat Forensic Sciences University,33336.0,83460.0,0.0,0.0,-41.43,0.0,19213.16,26-04-1951,2.00% @ 62,gfsu.edu.in,Gandhinagar,30659.16
67,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0.0,,0.0,,0.0,05-11-1957,,sdau.edu.in,,75.4
68,Institute of Infrastructure Technology Research and Management,22879.56,38749.56,0.0,0.0,3494.03,,0.0,27-08-1959,,iitram.ac.in,Ahmedabad,3494.03
69,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0.0,0.0,1293.5,0.0,0.0,13-10-1952,,msubaroda.ac.in,,1293.5
70,Gujarat National Law University,85188.0,150792.0,0.0,0.0,0.0,0.0,9319.08,11-06-1978,2.00% @ 55,gnlu.ac.in,Gandhinagar,102871.32
71,Sardarkrushinagar Dantiwada Agricultural University,59076.0,131088.0,0.0,0.0,5000.0,0.0,23270.64,11-06-1982,2.00% @ 62,sdau.edu.in,,88453.84
72,Gujarat University of Transplantation Sciences,28079.4,41432.76,0.0,0.0,0.0,,0.0,08-10-1951,,www.guts.education,,615.0
73,Bhakta Kavi Narsinh Mehta University,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,20-09-1971,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.bknmu.edu.in,,1902.78
74,Dharamsinh Desai University,85188.0,150792.0,0.0,0.0,0.0,,17109.6,26-02-1977,2.00% @ 55,ddu.ac.in,Nadiad,121584.34
75,Navsari Agricultural University,32760.0,106584.0,0.0,0.0,6.75,0.0,0.0,24-03-1959,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.nau.in,Navsari,2644.84
76,Gujarat Technological University,85188.0,150792.0,0.0,0.0,0.0,,9319.08,22-02-1965,2.00% @ 55,gtu.ac.in,Ahmedabad,108347.32
77,Gujarat University,59076.0,131088.0,0.0,0.0,976.6,0.0,2165.16,03-02-1982,2.00% @ 62,gujaratuniversity.org.in,,39714.06
78,Gujarat Forensic Sciences University,39456.0,73944.0,0.0,0.0,650.0,,8595.72,01-02-1980,2.00% @ 62,gfsu.edu.in,,58319.0
79,Gujarat Technological University,49512.0,66192.0,0.0,0.0,11078.21,0.0,10114.0,17-06-1974,2.00% @ 62,gtu.ac.in,,38275.18
80,Gujarat National Law University,22879.56,38749.56,0.0,0.0,3120.2,0.0,0.0,11-09-1970,,gnlu.ac.in,Gandhinagar,3120.2
81,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,198.0,,0.0,22-10-1953,,gfsu.edu.in,Gandhinagar,198.0
82,Gujarat Technological University,49512.0,66192.0,0.0,0.0,0.0,,0.0,07-07-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad,11211.8
83,Ganpat University,22879.56,291194.4,16.5,0.0,0.0,0.0,0.0,11-05-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,gu.ac.in,Mehsana,3888.5
84,Krantiguru Shyamji Krishna Verma Kachchh University,59076.0,131088.0,0.0,0.0,358.67,0.0,17631.72,25-05-1952,2.00% @ 55,kskvku.digitaluniversity.ac,Bhuj,26119.37
85,Gujarat Forensic Sciences University,85188.0,150792.0,0.0,0.0,19322.0,,9237.72,09-06-1950,2.00% @ 55,gfsu.edu.in,Gandhinagar,135276.16
86,Saurashtra University,49512.0,66192.0,0.0,0.0,0.0,,9329.16,09-01-1978,2.00% @ 55,saurashtrauniversity.edu,Rajkot,40244.16
87,Gujarat University,49512.0,66192.0,0.0,0.0,2620.8,,1499.78,04-11-1954,Part-Time Seasonal and Temporary (PST) Retirement Plan,gujaratuniversity.org.in,Ahmedabad,15724.8
88,Sardar Patel University,59076.0,131088.0,0.0,0.0,28.27,0.0,1450.0,24-09-1966,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,,13432.01
89,Sardar Patel University,132.0,2880.0,0.0,,900.0,0.0,0.0,20-10-1958,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar,900.0
90,Gujarat Ayurved University,22879.56,38749.56,0.0,0.0,5170.38,0.0,0.0,08-07-1979,,ayurveduniversity.edu.in,,8720.88
91,Gujarat University,22879.56,38749.56,0.0,0.0,5144.01,0.0,0.0,21-01-1957,,gujaratuniversity.org.in,Ahmedabad,5719.01
92,Shree Somnath Sanskrit University,22879.56,38749.56,0.0,0.0,277.2,,0.0,16-02-1965,,sssu.ac.in,Veraval,277.2
93,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,768.0,0.0,0.0,19-04-1966,,sdau.edu.in,Palanpur,768.0
94,Dharamsinh Desai University,34152.0,59976.0,0.0,0.0,650.0,0.0,8803.54,25-02-1963,2.00% @ 62,ddu.ac.in,Nadiad,36888.52
95,Sardar Patel University,67656.0,143952.0,0.0,0.0,100.0,0.0,17631.72,23-05-1979,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar,106182.24
96,Shri Govind Guru University,22879.56,38749.56,0.0,0.0,1433.65,,0.0,05-08-1984,,sggu.ac.in,Godhra,1906.15
97,Anand Agricultural University,22879.56,38749.56,0.0,0.0,852.5,,0.0,14-05-1952,,www.aau.in,,852.5
98,Sardarkrushinagar Dantiwada Agricultural University,49512.0,66192.0,0.0,0.0,4794.91,0.0,0.0,11-05-1976,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,17231.16
99,Gujarat Forensic Sciences University,67656.0,143952.0,0.0,0.0,0.0,,23270.64,26-04-1964,2.00% @ 55,gfsu.edu.in,Gandhinagar,86505.04
100,Dr. Babasaheb Ambedkar Open University,22879.56,38749.56,0.0,0.0,528.0,0.0,0.0,16-04-1969,,baou.edu.in,Ahmedabad,528.0
101,Institute of Infrastructure Technology Research and Management,22879.56,38749.56,0.0,0.0,4909.35,,0.0,13-07-1979,,iitram.ac.in,Ahmedabad,5877.35
102,Sardar Patel University,85188.0,150792.0,0.0,0.0,4000.0,,23270.64,09-05-1959,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar,103258.64
103,Gujarat University of Transplantation Sciences,22879.56,38749.56,0.0,0.0,1592.3,,0.0,24-11-1951,,www.guts.education,,1592.3
104,Gujarat University of Transplantation Sciences,22879.56,38749.56,0.0,0.0,7334.25,,0.0,10-08-1970,,www.guts.education,,10576.08
105,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,4628.3,0.0,0.0,16-06-1978,,gfsu.edu.in,,4628.3
106,Sardar Patel University,85188.0,150792.0,0.0,5650.75,0.0,0.0,16162.41,04-01-1952,2.00% @ 55,spuvvn.edu,Vallabh Vidhyanagar,132644.96
107,Gujarat Ayurved University,22879.56,38749.56,0.0,0.0,516.0,,0.0,08-08-1957,,ayurveduniversity.edu.in,Jamnagar,516.0
108,Shri Govind Guru University,22879.56,38749.56,0.0,0.0,1132.75,0.0,0.0,02-05-1956,,sggu.ac.in,,1132.75
109,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0.0,0.0,1466.0,,0.0,08-01-1951,,www.bknmu.edu.in,Junagadh,1466.0
110,Maharaja Krishnakumarsinhji Bhavnagar University,22879.56,38749.56,0.0,0.0,2794.0,0.0,0.0,25-11-1982,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.mkbhavuni.edu.in,,4136.0
111,Dharamsinh Desai University,22879.56,38749.56,0.0,0.0,435.5,0.0,0.0,10-08-1972,,ddu.ac.in,Nadiad,435.5
112,Maharaja Sayajirao University of Baroda,44712.0,157800.0,0.0,,258.0,,23270.64,24-02-1984,2.00% @ 55,msubaroda.ac.in,,86028.86
113,Saurashtra University,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,24-07-1951,,saurashtrauniversity.edu,Rajkot,2538.0
114,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0.0,0.0,0.0,,0.0,20-07-1964,,sdau.edu.in,Palanpur,306.8
115,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,55.0,0.0,0.0,06-07-1965,,sdau.edu.in,Palanpur,961.1
116,Navsari Agricultural University,46764.0,82152.0,0.0,0.0,172.81,0.0,899.76,24-05-1968,2.00% @ 62,www.nau.in,,34968.28
117,Maharaja Krishnakumarsinhji Bhavnagar University,31200.0,53496.0,0.0,,650.0,0.0,23270.64,16-06-1968,2.00% @ 55,www.mkbhavuni.edu.in,Bhavnagar,34839.8
118,Gujarat Forensic Sciences University,66408.0,85752.0,6481.54,,2735.6,,17751.72,08-06-1984,2.00% @ 62,gfsu.edu.in,Gandhinagar,77631.02
119,Gujarat Forensic Sciences University,28152.0,66204.0,0.0,0.0,0.0,,9134.04,20-03-1971,2.00% @ 62,gfsu.edu.in,Gandhinagar,16050.0
120,Sardarkrushinagar Dantiwada Agricultural University,49512.0,66192.0,0.0,0.0,0.0,,0.0,19-07-1955,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,13949.97
121,Dharamsinh Desai University,46764.0,82152.0,0.0,0.0,650.0,,23270.64,11-09-1962,2.00% @ 55,ddu.ac.in,,58591.92
122,Sardar Patel University,28152.0,66204.0,0.0,,0.0,0.0,0.0,25-06-1972,,spuvvn.edu,Vallabh Vidhyanagar,1929.6
123,Dr. Babasaheb Ambedkar Open University,31200.0,48888.0,1819.29,0.0,1839.89,,1769.64,05-05-1956,2.00% @ 55,baou.edu.in,,45207.46
124,Dharamsinh Desai University,59076.0,131088.0,0.0,0.0,0.0,0.0,23270.64,18-11-1966,2.00% @ 55,ddu.ac.in,,63375.0
125,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0.0,0.0,4877.6,0.0,0.0,05-09-1964,,msubaroda.ac.in,Vadodara,4877.6
126,Maharaja Krishnakumarsinhji Bhavnagar University,54648.0,77856.0,0.0,0.0,1023.79,,9237.72,03-07-1970,2.00% @ 60,www.mkbhavuni.edu.in,,56378.79
127,Saurashtra University,49512.0,66192.0,0.0,0.0,0.0,,0.0,07-03-1971,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot,3850.13
128,Sardar Patel University,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,15-11-1969,,spuvvn.edu,Vallabh Vidhyanagar,540.0
129,Gujarat Technological University,85188.0,150792.0,0.0,0.0,2500.0,0.0,9797.64,23-10-1975,2.00% @ 55,gtu.ac.in,,107140.32
130,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,2558.0,0.0,0.0,26-01-1965,,sdau.edu.in,Palanpur,4547.0
131,Dharamsinh Desai University,39456.0,73944.0,0.0,1536.84,650.0,0.0,7338.36,07-10-1970,2.00% @ 62,ddu.ac.in,Nadiad,13634.17
132,Dharamsinh Desai University,59076.0,131088.0,0.0,0.0,2087.0,0.0,23270.64,16-07-1984,2.00% @ 62,ddu.ac.in,Nadiad,67797.4
133,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0.0,0.0,0.0,,0.0,20-11-1952,Part-Time Seasonal and Temporary (PST) Retirement Plan,sdau.edu.in,Palanpur,372.0
134,Maharaja Krishnakumarsinhji Bhavnagar University,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,17-11-1956,,www.mkbhavuni.edu.in,Bhavnagar,806.0
135,Sardarkrushinagar Dantiwada Agricultural University,67656.0,143952.0,0.0,0.0,0.0,,23270.64,08-04-1950,2.00% @ 55,sdau.edu.in,Palanpur,81627.16
136,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,5637.5,,0.0,08-03-1956,,gfsu.edu.in,Gandhinagar,12677.5
137,Gujarat Technological University,22879.56,38749.56,0.0,0.0,4794.9,0.0,0.0,10-10-1969,,gtu.ac.in,Ahmedabad,6054.4
138,Sardarkrushinagar Dantiwada Agricultural University,28079.4,41432.76,0.0,0.0,0.0,,0.0,04-02-1986,,sdau.edu.in,Palanpur,1398.8
139,Dharamsinh Desai University,22879.56,38749.56,0.0,0.0,8272.0,,0.0,23-05-1959,,ddu.ac.in,,11026.4
140,Gujarat National Law University,59076.0,131088.0,0.0,0.0,16201.6,0.0,21569.28,10-05-1952,2.00% @ 62,gnlu.ac.in,Gandhinagar,48514.56
141,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,1332.0,,0.0,25-11-1971,,gfsu.edu.in,Gandhinagar,1332.0
142,Gujarat University of Transplantation Sciences,22879.56,38749.56,0.0,,0.0,,0.0,24-11-1964,,www.guts.education,Ahmedabad,35.2
143,Dharamsinh Desai University,85188.0,162768.0,0.0,0.0,19572.6,,9329.16,19-05-1965,2.00% @ 55,ddu.ac.in,Nadiad,123733.08
144,Gujarat Technological University,60864.0,213120.0,0.0,0.0,138.0,0.0,9237.72,08-11-1982,2.00% @ 55,gtu.ac.in,Ahmedabad,173957.0
145,Veer Narmad South Gujarat University,22879.56,38749.56,0.0,0.0,6443.0,0.0,0.0,25-05-1951,,vnsgu.ac.in,Surat,6443.0
146,Dharamsinh Desai University,49932.0,93552.0,0.0,3234.44,325.0,0.0,3882.95,09-09-1970,2.00% @ 60,ddu.ac.in,Nadiad,15622.94
147,Raksha Shakti University,44712.0,157800.0,0.0,0.0,258.0,0.0,9237.72,09-11-1953,2.00% @ 55,rsu.ac.in,Ahmedabad,91367.04
148,Sardar Patel University,34152.0,59976.0,0.0,0.0,0.0,,1448.32,06-02-1989,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar,18351.33
149,Dharamsinh Desai University,22879.56,38749.56,0.0,0.0,6431.75,,0.0,15-11-1965,,ddu.ac.in,Nadiad,7839.75
150,Gujarat University of Transplantation Sciences,37380.0,65700.0,583.99,,650.0,0.0,9237.72,10-09-1952,2.00% @ 62,www.guts.education,,38347.54
151,Maharaja Sayajirao University of Baroda,31200.0,53496.0,0.0,0.0,1837.05,0.0,8126.22,12-10-1957,2.00% @ 62,msubaroda.ac.in,Vadodara,31715.78
152,Maharaja Sayajirao University of Baroda,52464.0,125736.0,0.0,0.0,650.0,0.0,23270.64,23-04-1976,2.00% @ 55,msubaroda.ac.in,Vadodara,88436.0
153,Gujarat Ayurved University,59076.0,110088.0,0.0,0.0,0.0,,0.0,16-02-1973,Part-Time Seasonal and Temporary (PST) Retirement Plan,ayurveduniversity.edu.in,Jamnagar,1917.39
154,Maharaja Sayajirao University of Baroda,44712.0,157800.0,0.0,15172.5,50.0,0.0,18925.7,15-10-1971,2.00% @ 62,msubaroda.ac.in,,93762.5
155,Ganpat University,37380.0,65700.0,0.0,0.0,650.0,0.0,19058.66,22-07-1981,2.00% @ 62,gu.ac.in,,42186.09
156,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0.0,,225.0,,0.0,23-11-1951,,msubaroda.ac.in,Vadodara,225.0
157,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,55.0,0.0,0.0,11-11-1976,,sdau.edu.in,Palanpur,2671.35
158,Dharamsinh Desai University,59076.0,131088.0,0.0,0.0,0.0,0.0,17631.72,09-07-1986,2.00% @ 62,ddu.ac.in,,74695.32
159,Saurashtra University,22879.56,38749.56,0.0,0.0,6023.75,,0.0,23-10-1957,,saurashtrauniversity.edu,,6023.75
160,Gujarat University,22879.56,38749.56,0.0,0.0,8530.5,0.0,0.0,21-11-1953,,gujaratuniversity.org.in,Ahmedabad,11957.5
161,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,06-09-1977,,gfsu.edu.in,Gandhinagar,2923.8
162,Gujarat University of Transplantation Sciences,22879.56,291194.4,0.0,,0.0,0.0,0.0,01-04-1974,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.guts.education,Ahmedabad,4452.4
163,Maharaja Krishnakumarsinhji Bhavnagar University,60864.0,213120.0,0.0,0.0,60.0,0.0,9329.16,19-05-1986,2.00% @ 55,www.mkbhavuni.edu.in,Bhavnagar,100711.02
164,Gujarat University,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,12-09-1969,,gujaratuniversity.org.in,,1415.7
165,Ganpat University,50988.0,64128.0,191.6,0.0,145.13,0.0,19671.36,14-07-1971,2.00% @ 55,gu.ac.in,Mehsana,50399.89
166,Veer Narmad South Gujarat University,22879.56,38749.56,0.0,0.0,2587.6,,0.0,12-10-1967,,vnsgu.ac.in,Surat,2587.6
167,Gujarat Ayurved University,22879.56,38749.56,0.0,0.0,927.0,,0.0,23-01-1975,,ayurveduniversity.edu.in,,927.0
168,Gujarat University of Transplantation Sciences,22879.56,38749.56,0.0,0.0,2403.5,,0.0,20-10-1984,,www.guts.education,Ahmedabad,2403.5
169,Saurashtra University,22879.56,38749.56,0.0,0.0,22.4,0.0,0.0,15-02-1960,,saurashtrauniversity.edu,Rajkot,22.4
